State,County,state_name,mean_mp_rate,mean_bodies_rate,mp_trend,bodies_trend,mean_mp_robust_z,mean_bodies_robust_z,log_population,dbscan_cluster,hierarchical_cluster,silhouette_dbscan,silhouette_hierarchical
IN,St. Joseph,Indiana,0.6551038208676938,0.1880795200210649,-0.041524196823844874,-0.15046361601685193,-0.5029160796159069,0.0,5.432311742649381,0,3,,0.5365707122172108
IN,Tippecanoe,Indiana,0.6305536200251085,0.0,-0.07794832406041585,0.0,-0.5143949788594795,0.0,5.227986914854914,0,0,,-0.2750893822580652
IN,Vanderburgh,Indiana,1.024067314259978,0.11624392625485318,0.04195631855450817,-2.7755575615628915e-18,-0.3304003925808761,0.0,5.255150644278496,0,0,,-0.3079727993287506
IN,Vigo,Indiana,1.4101699498902471,0.0,-0.5749030794392167,0.0,-0.14987098345320093,0.0,5.034431916965135,0,0,,0.09172961730126421
IN,Wabash,Indiana,2.885521438904366,0.0,0.05561407776300875,0.0,0.5399568187646671,0.0,4.535610545908793,0,0,,0.4822328878321383
IN,Warrick,Indiana,1.7473512166232017,0.0,-0.3125732706236928,0.0,0.007784337269632506,0.0,4.798312191982628,0,0,,0.3546401580811442
IN,Wayne,Indiana,1.4517059532009753,0.5631185505328509,0.31247717757871873,-0.5631185505328509,-0.1304500589547952,0.0,4.820962942190792,0,0,,0.3277382072547464
KS,Atchison,Kansas,7.990713685786649,0.0,0.1377833521126668,0.0,2.926983621387702,0.0,4.2055562056939175,0,0,,0.4084426424201254
KS,Barton,Kansas,3.824873363369936,0.0,0.21590789236580266,0.0,0.9791681378220798,0.0,4.405295123042287,0,0,,0.4941710131931475
KS,Butler,Kansas,2.5133627117508084,0.0,1.6755751411672055,0.0,0.3659471412470128,0.0,4.7758360914559566,0,0,,0.3468410788006234
KS,Cowley,Kansas,2.810226228375363,0.0,0.0720298850590757,0.0,0.5047511542274234,0.0,4.538246884671983,0,0,,0.4807951626001456
KS,Dickinson,Kansas,1.8134668044901439,3.445483832067118,2.720200206735216,-2.5841128740503385,0.03869789990891389,0.0,4.264369135051616,0,0,,0.15643226508732083
KS,Douglas,Kansas,2.409827507563208,0.0,-3.160633671816834,0.0,0.31753734677516327,0.0,5.081178022405171,0,0,,0.03981682332913074
KS,Finney,Kansas,2.585200803122154,0.0,0.23310526971819057,0.0,0.3995363659539583,0.0,4.56835428722003,0,0,,0.4718902744886728
KS,Ford,Kansas,3.072763028515241,1.549666821633349,-6.145526057030482,3.099333643266698,0.627505077743524,0.0,4.508731669443144,0,0,,0.18695714888965229
KS,Geary,Kansas,1.1971030107140719,3.598488449743232,-1.7956545160711075,0.010769126401524831,-0.2494943609816338,0.0,4.44215039567175,0,0,,0.3211838557420539
KS,Harvey,Kansas,4.432895789780154,0.0,2.7856553845095404,0.0,1.2634602385404072,0.0,4.535680128670715,0,0,,0.38771225434137613
KS,Johnson,Kansas,0.7440637635169403,0.0762241789379985,-0.013750499796690387,0.03222355412912622,-0.46132121752364386,0.0,5.792856555994771,0,3,,0.7024891161858332
KS,Leavenworth,Kansas,1.3440706398274114,0.7250895485592471,0.4625592999103193,-0.5800716388473977,-0.18077693510492088,0.0,4.898766306013737,0,0,,0.2564578144220293
KS,Marion,Kansas,4.148000663680106,3.733014782738539,8.296001327360212,-7.466029565477078,1.130252267312137,0.0,4.081131187131893,0,2,,0.344197337287921
KS,Reno,Kansas,1.5448548608858197,0.0,0.0,0.0,-0.0868965689927727,0.0,4.811112316289169,0,0,,0.3405781847890064
KS,Riley,Kansas,2.2956894274287007,0.0,-1.7340319015035905,0.0,0.26416998207946785,0.0,4.845067017871888,0,0,,0.27764243916353526
KS,Saline,Kansas,1.8537090310819153,0.0,-0.014866856478191413,0.0,0.057513895238071266,0.0,4.736627533291734,0,0,,0.3975300965374153
